Brand,Model_Type,Model_Name,Number_Of_Seats,Trunk_Volume,Wheel_Base,Empty_Weight,Tank,Urban_Consumption,Mixed_Consumption,Extra_Urban_Consumption,CO2,Number_Cylinders,Valves_Per_Cylinder,Displacement,Din_Power,Engine_Torque,Fiscal_Power,Engine_Position,Power_Supply,Max_Speed,Supercharging_Type,Acceleration,Transmission,Box,Number_Speeds,Distribution,Bodywork,Front_Tire_Width,Rear_Tire_Width,Front_Tire_HL_Ratio,Rear_Tire_HL_Ratio,Front_Suspension,Rear_Suspension,Front_Rims_Diameter,Rear_Rims_Diameter,Maintenance_Interval,Month_Guarantee,Manufacturer_Country,Start_Marketing,End_Marketing,Vehicle_Image,Length,Width,Height,Website_URL,Year
RENAULT,CAPTUR,1.2 TCE 120 HELLY HANSEN EDC,5,455 l (maximum volume 1235 l),2.61 m,1255 kg,45 l,6.7 l / 100 km ,5.5 l / 100 km ,4.8 l / 100 km ,127 g / km ,4 ,4,1197 cc,120 hp at the speed of 4900 rpm,190 Nm at the 2000 rpm diet,6 cv ,no data,Direct petrol injection ,192 km/h ,Turbo ,10.9 sec ,before ,automatic ,6 ,Double camshaft in the head ,Crossover ,205 mm ,205 mm ,55 ,55 ,leg Force ,twisting axle ,17 inches ,17 inches ,24 months ,24 months ,France ,02/02/15 ,07/09/15 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur/S7-modele--renault-captur.jpg,"4,12 m","1,78 m","1,57 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-1.2+tce+120+helly+hansen+edc-2014.html,2014
PEUGEOT,206,(2) SW 1.4 E X-BOX,5,313 L (Max 1316 L volume),2.44 m,1074 kg,50 l,8.9 l / 100 km ,6.5 l / 100 km ,5.1 l / 100 km ,154 g / km ,4 ,2,1360 cc,75 hp at the 5500 rpm diet,120 Nm at the diet of 2800 rpm,5 cv ,before ,no data,171 km/h ,no data,13.3 sec ,before,Made Coinique,5 ,simple camshaft in mind ,station wagon ,175 mm ,175 mm ,65 ,65 ,no data,no data,14 inches ,14 inches ,24 months ,24 months ,no data,09/28/06 ,05/03/07 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206-sw/S7-modele--peugeot-206-sw.jpg,"4,03 m","1,65 m","1,44 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-(2)+sw+1.4+e+x_box-2007.html,2007
RENAULT,ARKANA,1.6 E-TECH 145 ZEN,5,480 L (volume max 1263 l),2.72 m,1435 kg,50 l,no data,no data,no data,no data,4 ,4 ,1598 cc ,145 hp ,148 Nm at 3600 rpm regime ,5 cv ,no data,no data,172 km/h ,no data,10.8 sec ,before ,automatic ,4 ,no data,Coupé ,215 mm ,215 mm ,60 ,60 ,no data,no data,17 inches,17 inches,no data,24 months,no data,03/05 /22 ,30/06/22 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-arkana/S7-modele--renault-arkana.jpg,"4,57 m","1,82 m",NC,https://www.lacentrale.fr/fiche-technique-voiture-renault-arkana-1.6+e_tech+145+zen-2021.html,2021
RENAULT,CLIO,V 1.5 BLUE DCI 115 6CV INTENS,5,366 L (volume max 1069 l),2.58 m,1277 kg,39 l,4.3 l / 100 km ,3.6 l / 100 km ,3.2 l / 100 km ,95 g / km ,4 ,2,1461 cc,115 hp with a diet of 3750 rpm,220 nm at the 2000 rpm diet,6 cv ,no data,Common Diesel ramp ,197 km/h ,Turbo ,9.9 sec ,before ,mèsique ,6 ,no data,hayon sedan ,195 mm,195 mm,55,55 ,force force,twisting axle,16 inches ,16 inches ,12 months ,24 months ,France ,05/10/20 ,06/12/20 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-5/S7-modele--renault-clio-5.jpg,"4,05 m","1,80 m","1,44 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-v+1.5+blue+dci+115+6cv+intens-2020.html,2020
RENAULT,CLIO,V 1.0 SCE 75 LIFE,5,391 l (volume max 1069 l),2.58 m,1223 kg,42 l,6.3 l / 100 km ,4.9 l / 100 km ,4.1 l / 100 km ,112 g / km ,3 ,4,999 cc,72 hp with a diet of 6,95 nm with a diet of 3600 rpm,4 cv ,no data,Multipoint ,162 km/h ,no data,16.4 sec ,before,Made Coinique,5 ,no data,hayon sedan ,185 mm,185 mm,65,65 ,force force,twisting axle,15 inches ,15 inches ,24 months ,24 months ,France ,05/10/20 ,03/11/20 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-5/S7-modele--renault-clio-5.jpg,"4,05 m","1,80 m","1,44 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-v+1.0+sce+75+life-2019.html,2019
RENAULT,CAPTUR,1.5 DCI 90 ENERGY INTENS EDC ECO2,5,455 l (volume max 1235 l),2.61 m,1279 kg,45 l,4 l / 100 km ,3.8 l / 100 km ,3.7 l / 100 km ,99 g / km ,4 ,2,1461 cc,90 hp with a speed of 4000 rpm,220 nm at the 1750 rpm diet,4 cv ,no data,Diesel Common Rampe ,170 km/h ,Turbo ,13.8 sec ,before ,automatic ,6 ,no data,Crossover ,205 mm ,205 mm ,55 ,55 ,no data,no data,17 inches,17 inches,24 months,24 months,no data,10/ 02/16 ,01/03/16 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur/S7-modele--renault-captur.jpg,"4,12 m","1,78 m","1,57 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-1.5+dci+90+energy+intens+edc+eco2-2015.html,2015
RENAULT,CLIO,V 1.0 TCE 100 INITIALE PARIS,5,391 L (MAX 1069 L volume),2.58 m,1253 kg,42 l,5.6 l / 100 km ,4.4 l / 100 km ,3.7 l / 100 km ,100 g / km ,3 ,4,999 cc,100 hp at 5000 rpm diet,160 Nm with a diet of 2750 rpm,5 cv ,no data,multipoint ,187 km/h ,turbo ,11.8 sec ,before,Made Coinique,5 ,no data,hayon sedan ,205 mm,205 mm,45,45 ,force force,twisting axle,17 inches ,17 inches ,24 months ,24 months ,France ,05/10/20 ,03/11/20 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-5/S7-modele--renault-clio-5.jpg,"4,05 m","1,80 m","1,44 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-v+1.0+tce+100+initiale+paris-2020.html,2020
PEUGEOT,108,1.0 VTI 72 S&S TOP! COLLECTION 5P,4,196 L (Max 780 L volume),2.34 m,840 kg,35 l,no data,no data,no data,no data,3 ,4 ,998 cc ,72 hp at 6000 rpm diet ,93 Nm at the speed of 4400 rpm ,4 cv ,no data,multipoint ,160 km/h ,no data,13.8 sec ,before ,mèsique ,5 ,no data,Micro ,165 mm ,165 mm ,60 ,60 ,leg of force ,twisting axle ,15 inches ,15 inches ,12 months ,24 months ,France ,01/09/21 ,03/18/22 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-108/S7-modele--peugeot-108.jpg,"3,48 m","1,62 m","1,46 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-108-1.0+vti+72+s%5Es+top!+collection+5p-2022.html,2022
RENAULT,CLIO,V 1.0 TCE 90 INITIALE PARIS,5,391 l (volume max 1069 l),2.58 m,1178 kg,42 l,5.6 l / 100 km ,4.4 l / 100 km ,3.7 l / 100 km ,100 g / km ,3 ,4,999 cc,90 hp,160 nm,5 cv,no data,Multipoint,180 km/h,Turbo,12.2 sec,before,Made Coinique,6 ,no data,hayon sedan ,205 mm,205 mm,45,45 ,force force,twisting axle,17 inches ,17 inches ,24 months ,24 months ,France ,05/10/20 ,06/12/20 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-5/S7-modele--renault-clio-5.jpg,"4,05 m","1,80 m","1,44 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-v+1.0+tce+90+initiale+paris-2020.html,2020
PEUGEOT,206,(2) 1.6 16S XT BVA 3P,5,245 L (Max 1130 L volume),2.44 m,1050 kg,50 l,9.9 l / 100 km ,7.1 l / 100 km ,5.5 l / 100 km ,no data,4 ,4 ,1587 cc ,110 hp with a speed of 5800 rpm ,147 nm at the regime of 4000 rpm ,7 cv ,before ,no data,196 km/h ,no data,11.4 sec ,Before ,automatic ,no data,Variable Settings of the valves,Bicorps sedan (3/5 doors),195 mm,195 mm,55,55 ,no data,no data,15 inches ,15 inches ,no data,24 months ,no data,01/04/04 ,03/10/05 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206/S7-modele--peugeot-206.jpg,"3,84 m","1,65 m","1,43 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-(2)+1.6+16s+xt+bva+3p-2005.html,2005
PEUGEOT,2008,II 1.5 BLUEHDI 130 S&S ROADTRIP EAT8,5,405 l (maximum volume 1467 l),2.61 m,no data,41 l,no data,no data,no data,no data,4 ,4 ,1499 cc ,130 hp ,300 Nm at the 1750 rpm regime ,7 cv ,no data,no data,195 km/h ,no data,9.3 sec ,before ,automatic ,8 ,no data,All-terrain ,215 mm ,215 mm ,60 ,60 ,no data,no data,17 inches ,17 inches ,no data,24 months ,no data,08 /07/22 ,09/29/22 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008-2e-generation/S7-modele--peugeot-2008-2e-generation.jpg,"4,30 m","1,77 m","1,53 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-ii+1.5+bluehdi+130+s%5Es+roadtrip+eat8-2021.html,2021
RENAULT,CLIO,V 1.0 SCE 65 ZEN,5,391 L (volume max 1069 l),2.58 m,1140 kg,42 l,6.3 l / 100 km ,4.9 l / 100 km ,4.1 l / 100 km ,no data,3 ,4 ,999 cc ,65 hp at the 6250 rpm diet ,95 nm with a diet of 3600 rpm ,4 cv ,no data,Multipoint ,160 km/h ,no data,17.1 sec ,Before ,Made Coinique ,5 ,no data,hayon sedan ,195 mm,195 mm,55,55 ,force force,twisting axle,16 inches ,16 inches ,24 months ,24 months ,France ,01/04/21 ,05/31/21 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-5/S7-modele--renault-clio-5.jpg,"4,05 m","1,80 m","1,44 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-v+1.0+sce+65+zen-2021.html,2021
RENAULT,CLIO,IV (2) 1.5 DCI 90 ENERGY INTENS,5,300 L (Max 1146 L volume),2.59 m,1090 kg,45 l,3.5 l / 100 km ,3.3 l / 100 km ,3.1 l / 100 km ,85 g / km ,4 ,2,1461 cc,90 hp with a speed of 4000 rpm,220 nm at the 1750 rpm diet,4 cv ,no data,Diesel Common Rampe ,180 km/h ,Turbo ,12 sec ,before ,mèsique ,5 ,no data,hayon sedan ,195 mm,195 mm,55,55 ,force force,twisting axle,16 inches ,16 inches ,24 months ,24 months ,France ,06/03/18 ,01/05/18 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+(2)+1.5+dci+90+energy+intens-2017.html,2017
PEUGEOT,2008,II 1.2 PURETECH 100 S&S 5CV ALLURE BUSINESS,5,405 l (Max 1467 L volume),2.61 m,1192 kg,44 l,no data,no data,no data,no data,3 ,4 ,1199 cc ,100 hp at 5000 rpm diet ,205 Nm at the 1750 rpm diet ,5 cv ,no data,Direct & multipoint fuel injection ,188 km/h ,Turbo ,10.9 sec ,before ,CHOOL ,6 ,no data,Crossover ,215 mm ,215 mm ,60 ,60 ,force ,twisting axle ,17 inches ,17 inches ,12 months ,24 months ,France ,01/06/21 ,02/09/21 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008-2e-generation/S7-modele--peugeot-2008-2e-generation.jpg,"4,30 m","1,77 m","1,53 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-ii+1.2+puretech+100+s%5Es+5cv+allure+business-2021.html,2021
PEUGEOT,106,(2) D OPEN 3P,5,215 L (Max 528 L volume),2.39 m,875 kg,45 l,6.8 l / 100 km ,5.2 l / 100 km ,4.3 l / 100 km ,no data,4 ,2 ,1527 cc ,58 hp at the 5000 rpm diet ,95 Nm with a diet of 2250 rpm ,4 cv ,before ,no data,158 km/h ,no data,18.3 sec ,Before ,Made Coinique ,5 ,simple camshaft in mind ,bicorps sedan (3/5 doors) ,165 mm ,165 mm ,70 ,70,no data,no data,13 inches,13 inches,no data,12 months,no data,01/07/98 ,01/06/01 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-106/S7-modele--peugeot-106.jpg,"3,68 m","1,59 m","1,38 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-106-(2)+d+open+3p-2001.html,2001
PEUGEOT,2008,(2) PURETECH 110 S&S ALLURE EAT6,5,410 L (Max 1400 L volume),2.54 m,1190 kg,50 l,6.5 l / 100 km ,5.5 l / 100 km ,4.9 l / 100 km ,114 g / km ,3 ,4,1199 cc,110 hp with a speed of 5,205 nm at the 1750 rpm diet,6 cv ,no data,Direct & Multipoint petrol injection ,187 km/h ,Turbo ,10.5 sec ,before ,automatic ,6 ,no data,Crossover ,195 mm ,195 mm ,60 ,60 ,force ,twisting axle ,16 inches ,16 inches ,12 months ,24 months ,France ,03/06/19 ,01/07/19 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008/S7-modele--peugeot-2008.jpg,"4,16 m","1,74 m","1,56 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-(2)+puretech+110+s%5Es+allure+eat6-2019.html,2019
RENAULT,CLIO,IV ESTATE 0.9 TCE 90 ENERGY NOUVELLE LIMITED ECO2,5,443 L (Max 1380 L volume),2.59 m,1055 kg,45 l,5.6 l / 100 km ,4.5 l / 100 km ,3.9 l / 100 km ,105 g / km ,3 ,4,898 cc,90 hp with a speed of 5,135 nm with a diet of 2500 rpm,5 cv ,no data,Multipoint ,182 km/h ,Turbo ,12.2 sec ,before,Made Coinique,5 ,no data,Break ,195 mm ,195 mm ,55 ,55 ,no data,no data,16 inches,16 inches,24 months,24 months,no data,05/ 07/16 ,08/11/16 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4-estate/S7-modele--renault-clio-4-estate.jpg,"4,27 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+estate+0.9+tce+90+energy+nouvelle+limited+eco2-2016.html,2016
RENAULT,CAPTUR,1.5 DCI 90 ENERGY WAVE EDC,5,455 L (volume max 1235 l),2.61 m,1204 kg,45 l,4 l / 100 km ,3.8 l / 100 km ,3.7 l / 100 km ,99 g / km ,4 ,2,1461 cc,90 hp with a speed of 4000 rpm,220 nm at the 1750 rpm diet,4 cv ,no data,Diesel Common Rampe ,170 km/h ,Turbo ,13.8 sec ,before ,automatic ,6 ,no data,Crossover ,205 mm ,205 mm ,55 ,55 ,force ,twisting axle ,17 inches ,17 inches ,24 months ,24 months ,France ,04/04/17 ,03/05/17 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur/S7-modele--renault-captur.jpg,"4,12 m","1,78 m","1,57 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-1.5+dci+90+energy+wave+edc-2017.html,2017
RENAULT,CLIO,IV ESTATE 1.5 DCI 75 INTENS ECO2,5,443 L (volume max 1380 l),2.59 m,1119 kg,45 l,4.3 l / 100 km ,3.6 l / 100 km ,3.2 l / 100 km ,95 g / km ,4 ,2,1461 cc,75 hp with a diet of 4000 rpm,200 Nm on the diet of 1750 rpm,4 cv ,no data,Diesel common ramp ,168 km/h ,Turbo ,14.3 sec ,before ,mèsique ,5 ,no data,Break ,195 mm ,195 mm ,55 ,55 ,no data,no data,16 inches,16 inches,24 months,24 months,no data,05/ 07/16 ,08/11/16 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4-estate/S7-modele--renault-clio-4-estate.jpg,"4,27 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+estate+1.5+dci+75+intens+eco2-2014.html,2014
RENAULT,CLIO,IV (2) 0.9 TCE 90 ENERGY INTENS,5,300 L (Max 1146 L volume),2.59 m,1090 kg,45 l,6.3 l / 100 km ,5 l / 100 km ,4.2 l / 100 km ,113 g / km ,3 ,4,898 cc,90 hp with a speed of 5,140 Nm on the diet of 2250 rpm,5 cv ,no data,Multipoint ,180 km/h ,Turbo ,12.1 sec ,before,Made Coinique,5 ,no data,hayon sedan ,195 mm,195 mm,55,55 ,force force,twisting axle,16 inches ,16 inches ,24 months ,24 months ,France ,08/01/19 ,01/04/19 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+(2)+0.9+tce+90+energy+intens-2018.html,2018
PEUGEOT,107,(2) 1.0 12V BLUE LION NAVTEQ 5P,4,139 L (Max 751 L volume),2.34 m,800 kg,35 l,5.1 l / 100 km ,4.3 l / 100 km ,3.8 l / 100 km ,99 g / km ,3 ,4,998 cc,68 hp with a diet of 6000 rpm,93 nm at the 3600 rpm diet,4 cv ,no data,Multipoint ,157 km/h ,no data,12.5 sec ,before,Made Coinique,5 ,no data,micro ,155 mm ,155 mm ,65 ,65 ,no data,no data,14 inches,14 inches,12 months,24 months,no data,04/ 03/13 ,07/05/13 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-107/S7-modele--peugeot-107.jpg,"3,43 m","1,63 m","1,47 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-107-(2)+1.0+12v+blue+lion+navteq+5p-2012.html,2012
PEUGEOT,106,ELECTRIC 5P,5,184 l,2.39 m,1080 kg,no data,no data,no data,no data,no data,no data,no data,no data,27 CH at the speed of 5500 rpm ,127 nm ,1 cv ,no data,no data,91 km/h ,no data,no data,before ,mèsique ,no data,no data,Bicorps sedan (3/5 doors) ,165 mm ,165 mm ,70 ,70 ,no data,no data,13 inches,13 inches,no data,12 months,no data,01/01/99,01/04/03,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-106/S7-modele--peugeot-106.jpg,"3,68 m","1,59 m","1,38 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-106-electric+5p-2003.html,2003
PEUGEOT,2008,II ELECTRIQUE 136 ALLURE,5,434 L (MAX 1467 L volume),2.61 M,1550 kg,no data,no data,no data,no data,no data,no data,no data,no data,136 hp,260 Nm at 300 rpm regime,4 cv,no data,no data,150 km/h ,no data,9.9 sec ,before ,automatic ,1 ,no data,All-terrain ,215 mm ,215 mm ,65 ,65 ,no data,no data,16 inches ,16 inches ,no data,24 months ,no data,01 /06/23 ,no data,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-e-2008-2e-generation/S7-modele--peugeot-e-2008-2e-generation.jpg,"4,30 m","1,78 m","1,52 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-ii+electrique+136+allure-2023.html,2023
PEUGEOT,2008,(2) 1.6 BLUEHDI 100 S&S ACTIVE BUSINESS ETG6,5,410 L (Max 1400 L volume),2.54 m,1195 kg,50 l,4.1 l / 100 km ,3.6 l / 100 km ,3.3 l / 100 km ,95 g / km ,4 ,2,1560 cc,100 hp with a diet of 3500 rpm,254 nm at the diet of 1750 rpm,5 cv ,no data,Diesel common ramp ,180 km/h ,Turbo ,11.9 sec ,before ,automatic ,6 ,no data,Crossover ,205 mm ,205 mm ,55 ,55 ,force ,twisting axle ,16 inches ,16 inches ,12 months ,24 months ,France ,04/30/18 ,02/05/18 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008/S7-modele--peugeot-2008.jpg,"4,16 m","1,74 m","1,56 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-(2)+1.6+bluehdi+100+s%5Es+active+business+etg6-2017.html,2017
RENAULT,CLIO,IV 1.5 DCI 90 LIMITED EDC ECO2,5,300 L (maximum volume 1146 l),2.59 m,1152 kg,45 l,4.3 l / 100 km ,3.7 l / 100 km ,3.3 l / 100 km ,95 g / km ,4 ,2,1461 cc,90 hp with a speed of 4000 rpm,220 nm at the 1750 rpm diet,4 cv ,no data,Diesel Common Rampe ,176 km/h ,Turbo ,12.9 sec ,before ,automatic ,6 ,no data,hayon sedan ,195 mm ,195 mm ,55 ,55 ,no data,no data,16 inches ,16 inches ,24 months ,24 months ,no data,04/04/13 ,08/11/16 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+1.5+dci+90+limited+edc+eco2-2014.html,2014
PEUGEOT,1007,1.6 SPORTY 2-TRONIC,4,205 l (volume max 977 l),2.32 m,1216 kg,40 l,8.6 l / 100 km ,6.6 l / 100 km ,5.4 l / 100 km ,156 g / km ,4 ,4,1587 cc,109 hp with a diet of 5750 rpm,147 nm with a regime of 4000 rpm,6 cv ,before ,no data,190 km/h ,no data,11.8 sec ,before,automatic,5 ,Variable valve timing ,minipanese ,195 mm,195 mm,50,50 ,no data,no data,16 inches ,16 inches ,24 months ,24 months ,no data,09/25/04 ,06/13/11 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-1007/S7-modele--peugeot-1007.jpg,"3,73 m","1,92 m","1,62 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-1007-1.6+sporty+2_tronic-2010.html,2010
RENAULT,CAPTUR,(2) 1.3 TCE 130 FAP INTENS,5,455 l (volume max 1235 l),2.61 m,1304 kg,45 l,7.1 l / 100 km ,5.6 l / 100 km ,4.8 l / 100 km ,128 g / km ,4 ,4,1330 cc,130 hp,220 nm,7 cv,no data,Direct petrol injection,200 km/h,Turbo,10.2 sec,before,no data,6 ,no data,Crossover ,205 mm ,205 mm ,55 ,55 ,force ,twisting axle ,17 inches ,17 inches ,24 months ,24 months ,France ,05/11/19 ,06/01/20 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur/S7-modele--renault-captur.jpg,"4,12 m","1,78 m","1,57 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-(2)+1.3+tce+130+fap+intens-2018.html,2018
PEUGEOT,206,(2) 1.4 16S 90 STYLE 5P,5,245 L (Max 1130 L volume),2.44 m,974 kg,50 l,8.2 l / 100 km ,6.1 l / 100 km ,4.9 l / 100 km ,no data,4 ,4 ,1360 cc ,90 hp at the 5250 rpm diet ,133 Nm with a diet of 3250 rpm ,5 cv ,before ,no data,178 km/H ,no data,12.2 sec ,Before ,Made Coinique ,no data,Variable Settings of the valves,Bicorps sedan (3/5 doors),175 mm,175 mm,65,65 ,no data,no data,14 inches ,14 inches ,no data,24 months ,no data,09/25/04 ,03/10/05 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206/S7-modele--peugeot-206.jpg,"3,84 m","1,65 m","1,43 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-(2)+1.4+16s+90+style+5p-2005.html,2005
PEUGEOT,2008,(2) 1.2 PURETECH 110 S&S 5CV GT LINE,5,410 L (Max 1400 L volume),2.54 m,1150 kg,50 l,5.3 l / 100 km ,4.4 l / 100 km ,3.9 l / 100 km ,103 g / km ,3 ,4,1199 cc,110 hp with a speed of 5,205 nm at the 1750 rpm diet,5 cv ,no data,Direct & multipoint petrol injection ,191 km/h ,Turbo ,9.9 sec ,before ,Mesnie ,5 ,no data,Crossover ,205 mm ,205 mm ,50 ,50 ,Strength leg ,twisting axle ,17 inches ,17 inches ,12 months ,24 months ,France ,02/07/18 ,01/10/18 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008/S7-modele--peugeot-2008.jpg,"4,16 m","1,74 m","1,56 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-(2)+1.2+puretech+110+s%5Es+5cv+gt+line-2017.html,2017
PEUGEOT,108,1.0 VTI 72 STYLE 3P,4,196 L (Max 780 L volume),2.34 m,840 kg,35 l,4.9 l / 100 km ,4.1 l / 100 km ,3.6 l / 100 km ,93 g / km ,3 ,4,998 cc,72 hp with a diet of 6000 rpm,93 nm at the speed of 4400 rpm,4 cv ,no data,Multipoint ,160 km/h ,no data,13.8 sec ,before,Made Coinique,5 ,no data,Micro ,165 mm ,165 mm ,60 ,60 ,leg of force ,twisting axle ,15 inches ,15 inches ,12 months ,24 months ,France ,04/04/19 ,04/28/19 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-108/S7-modele--peugeot-108.jpg,"3,48 m","1,62 m","1,46 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-108-1.0+vti+72+style+3p-2019.html,2019
RENAULT,CLIO,IV ESTATE 1.5 DCI 90 ENERGY ICONIC E6,5,443 L (Max 1380 L volume),2.59 m,1185 kg,45 l,3.5 l / 100 km ,3.3 l / 100 km ,3.1 l / 100 km ,85 g / km ,4 ,2,1461 cc,90 hp with a speed of 4000 rpm,220 nm at the 1750 rpm diet,4 cv ,no data,Diesel Common Rampe ,181 km/h ,Turbo ,12 sec ,before ,mèsique ,5 ,no data,Break ,205 mm ,205 mm ,45 ,45 ,no data,no data,17 inches,17 inches,24 months,24 months,no data,29/ 02/16 ,05/04/16 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4-estate/S7-modele--renault-clio-4-estate.jpg,"4,27 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+estate+1.5+dci+90+energy+iconic+e6-2016.html,2016
PEUGEOT,2008,1.2 PURETECH 82 S&S ACCESS,5,350 l (maximum volume 1194 l),2.54 m,1055 kg,50 l,6 l / 100 km ,4.9 l / 100 km ,4.3 l / 100 km ,114 g / km ,3 ,4,1199 cc,82 hp at the speed of 5750 rpm,118 nm with a diet of 2750 rpm,4 cv ,no data,Multipoint ,168 km/h ,no data,13.5 sec ,before,Made Coinique,5 ,no data,Crossover ,195 mm ,195 mm ,65 ,65 ,no data,no data,15 inches,15 inches,12 months,24 months,no data,02/ 05/16 ,05/09/16 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008/S7-modele--peugeot-2008.jpg,"4,16 m","1,74 m","1,56 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-1.2+puretech+82+s%5Es+access-2015.html,2015
PEUGEOT,2008,1.6 BLUEHDI 120 S&S ALLURE BUSINESS,5,350 L (volume max 1172 l),2.54 m,1200 kg,50 l,4.3 l / 100 km ,3.7 l / 100 km ,3.3 l / 100 km ,96 g / km ,4 ,2,1560 cc,120 hp at 3500 rpm diet,300 Nm on the diet of 1750 rpm,6 cv ,no data,Diesel Common Ramp ,192 km/h ,Turbo ,10.4 sec ,before ,mèsique ,6 ,no data,Crossover ,195 mm ,195 mm ,60 ,60 ,no data,no data,16 inches,16 inches,12 months,24 months,no data,02/ 05/16 ,05/09/16 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008/S7-modele--peugeot-2008.jpg,"4,16 m","1,74 m","1,56 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-1.6+bluehdi+120+s%5Es+allure+business-2016.html,2016
